No.,대분류,중분류,소분류,데이터명(데이터 기준단위),주요 데이터내용(해당 시스템에서 추출),데이터 내용(해당 시스템에서 추출),기관명,시스템명
1,근로조건,근로기준,근로감독?신고사건,신고사건(진정 및 고소고발),"사건구분, 사건요지, 사업장명(공사장명), 범죄사실내용, 체불확정금액(임금), 체불확정금액(퇴직금), 체불확정금액(해고예고수당), 체불확정금액합계, 청산금액합계, 체불확정인원수, 청산인원수합계, 체불확정일자, 종결일자, 죄명, 범죄인지일, 송치일자 ","등록일련번호, 사건구분, 지방관서, 접수번호, 민원신청유형코드, 감독관ID, 감독관성명, 접수일자, 처리기한일자, 사건요지, 원처리기한일자, 진정/고소.고발인수, 피진정/고소.고발피의자수, 접수사건내용구분, 사업장일련번호, 사업장명(공사장명), 사업장업종코드, 사업장업종중분류명, 대상근로자수, 직상수급인, 직상수급인전화, 직상수급인주소, 사건번호, 범죄사실내용, 단기계약근로자수, 단시간근로자수, 특수고용형태근로자수, 체불확정금액(임금), 지도청산확정금액, 체불확정금액(퇴직금), 지도청산확정금액(퇴직금,, 기타,해고예고수당), 체불확정금액(해고예고수당), 지도청산확정금액합계, 체불확정금액합계, 청산금액합계, 체불확정인원수, 청산인원수합계, 사업장가동여부, 종결처리구분, 체불확정일자, 종결일자, 청산일자(일부), 죄명, 검찰처분결과, 발각원인, 청산일자(전액), 범죄인지일, 송치일자, 송치구분, 과태료부과금액, 조치일자, 조치구분, 진행구분, 미청산사건청산구분, 청산확정여부, 청산일자(미청산목록), 업종구분, 무료법율신청여부, 체당금청산확정여부, 체당금청산일자, 체당금청산금액(임금, 퇴직금, 기타, 휴업수당), 체당금청산금액합계, 무료법률청산확정여부, 무료법률청산일자, 무료법률청산금액(임금, 퇴직금, 기타, 휴업수당), 무료법률청산금액합계, 기타청산확정여부, 기타청산일자, 기타청산금액(임금, 퇴직금, 기타, 휴업수당), 기타청산금액합계, 직상사업장관리번호, 종결상태구분, 사건송치번호, 인지경위, 진정고소고발구분, 병합대표여부, 부서ID, 원사건민원등록번호, 원사건사건구분, 원사건피의자번호, 지연일수, 체불사유, 전단계병합처리번호, 전단계대표여부, 주소, 원사건병행상세주소, 건설현장체불, 공사유형, 사업주유형, 병합처리번호, 병행상세주소",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
2,근로조건,근로기준,근로감독?신고사건,"지도감독(근로감독, 근로조건자율개선)","기준년도, 사업종류코드, 지도감독, 순번, 접수일련번호, 조치구분, 조치순번, 조치일자, 지도감독구분, 지도감독일자","기준년도, 사업종류코드, 지도감독, 순번, 접수일련번호, 조치구분, 조치순번, 조치일자, 지도감독구분, 지도감독일자, 지방관서, 감독관ID, 감독관명, 구분, 대상근로자수, 점검구분, 선정사유, 변경사유, 변경전사업장관리번호, 사업구분, 부서ID, 근로조건자율개선지원사업연계여부, 수탁사업자, 서비스, 수행자, 서비스, 수행자, 성명, 서비스, 수행자, 생년월일, 대상사업장구분, 도입여부, 서비스, 월, 서비스, 일자, 점검분류(일반점검_집중점검)",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
3,근로조건,근로기준,"근로기준인허가,신고심사","근로시간연장, 취직인허, 최저임금적용제외","민원종류, 민원구분, 사업장일련번호, 근로자수, 신청인원, 인가인원, 인허가및승인일자, 인가취소사유","민원번호, 접수번호, 접수일자, 민원종류, 민원구분, 처리기한일자, 지방관서, 감독관ID, 감독관성명, 담당자전화번호, 사업장일련번호, 근로자수, 근로자수-여, 신청인원, 인가인원, 인가년도, 인허가및승인일자, 인허가및승인번호, 승인기간-FROM, 승인기간-TO, 조치일자, 조치구분, 진행상태, 처리결과, 인가취소일, 인가취소사유, 원처리일자, 부서코드, 종결일자
",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
4,근로조건,근로기준,"근로기준인허가,신고심사",근로자파견 인허가,"접수일자, 민원신청유형코드, 사업장일련번호, 허가번호, 관리지사, 폐지일자","민원번호, 접수번호, 신청구분, 서식번호, 접수일자, 민원신청유형코드, 사업장일련번호, 허가번호, 감독관번호, 감독관명, 감독관, 전화번호, 관리자사, 관리지사명, 부서코드, 부서명, 처리기한, 폐지일자, 신청사유, 진행상태, 종결상태, 종결일자",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
5,근로조건,근로기준,"근로기준인허가,신고심사",취업규칙,"신고구분, 신고일자, 접수일자, 사업장일련번호, 업종코드, 업종명, 근로자수, 의견청취일또는동의일자","민원번호, 접수번호, 신고구분, 민원구분, 신고일자, 접수일자, 처리기한일자, 사업장일련번호, 업종코드, 업종명, 노동조합순번, 근로자수_전체, 근로자수-여, 의견청취일또는동의일자, 신청인원, 인가인원, 인가년도, 인허가및승인일자, 인허가및승인번호, 승인기간-FROM, 승인기간-TO, 인가취소일, 인가취소사유, 지방관서, 감독관ID, 감독관명, 담당자전화번호, 부서코드, 진행구분, 보고기한일자, 조치일자, 조치구분, 진행상태, 처리결과",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
6,근로조건,근로기준,임금채권,도산 인정,"사업장명, 지방관서, 신청인_퇴직일자, 사업개시일자, 사업정지일자, 사업주행불여부, 재판상도산의신청, 재판상도산의신청일자, 도산신청일자, 체불근로자수, 체불금액계, 인정구분, 결정일","도산순번, 등록일련번호, 접수번호, 사업장일련번호, 사업장명, 지방관서, 신청인_퇴직일자, 사업개시일자, 사업정지일자, 사업주행불여부, 재판상도산의신청, 재판상도산의신청일자, 도산신청일자, 체불사항_체불근로자수,, 체불금액계,체불임금, 체불퇴직금, 체불기타, 인정구분, 결정일, 도산인정신청인통보일자, 공단/관서통보일자, 취소일자, 취소사유, 업종코드, 대표자명, 근로자수, 대표자주민번호, 도산복명서결재일자, 도산복명서결재구분, 도산등사실인정결과통지/취소제외결재일자, 도산등사실인정통지/취소결재일자, 민원처리기간연장결재일자, 업무구분, 신청인_입사일자, 신청인_임금지급일자, 적격구분, 부적격사유, 확인불가사유, 만나이, 체당금_계, 확인접수일자, 확인결과통보일자, 도산신청일자, 도산결정일자, 도산등사실인정/재판상도산구분, 체불사건요청번호, 체불사건사건구분, 도산신청처리번호, 재판상도산구분, 공단지급일자, 공단지급액, 공단지급관서, 공인노무사선임여부, 공인노무사명, 공인노무사등록번호, 1차_2차_3차신청일, 공인노무사대상여, JOB여부, 상담일자, 노무사선임구분, 외국인, 등록번호, 조력지원조건구분, 조선업종, 현장별, 사업가동기간, 합산여부, 지사주소, 본사주소, 본사_전화번호, 지사도산여부, 직상사업장도산순번, 상시근로자수구분, 체불사항_체불휴업수당, 체불사항_체불출산휴가급여",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
7,근로조건,근로기준,임금채권,대지급금 지급,"도산사업장정보, 사업장주소, 본지사여부, 상시근로자수, 사업주정보, 대지급금 종류, 청구인정보, 소송 및 진정여부, 체불금품확인번호, 입사일자, 퇴직일자, 체불금액정보, 지급액","도산사업장 정보, 사업장 주소, 본지사여부, 접수노동관서, 상시근로자수, 사업주 정보, 대지급금 종류, 청구인정보, 소송 및 진정여부, 체불금품확인번호, 입사일자, 퇴직일자, 체불금액정보, 지급액, 지급계좌정보",근로복지공단,노동보험시스템
8,근로조건,근로기준,협약임금,임금정보,"직업분류코드, 표준산업분류코드, 기업규모코드, 연령구분코드, 학력구분코드, 성별구분코드, 기업평균연봉금액, 하위평균소득금액, 중위평균소득금액, 상위평균소득금액, 근속기간코드, 회사직급코드, 관련직군코드, 검색직급코드, 경력년수코드, 조사표본근로자인원수, 추정근로자인원수","직업분류코드, 표준산업분류코드, 기업규모코드, 연령구분코드, 학력구분코드, 성별구분코드, 기업평균연봉금액, 하위평균소득금액, 중위평균소득금액, 상위평균소득금액, 근속기간코드, 회사직급코드, 관련직군코드, 검색직급코드, 경력년수코드, 조사표본근로자인원수, 추정근로자인원수",한국고용정보원,임금직업포털
9,근로조건,근로복지,사내근로복지기금,사내근로복지기금,"민원번호, 사업장명-신청인명, 접수번호, 접수일자, 조치일자, 조치구분, 처리결과","민원번호, 민원서식구분, 사업장명-신청인명, 접수번호, 접수일자, 처리기한일자, 지방관서, 부서코드, 감독관ID, 감독관성명, 담당자전화번호, 조치일자, 조치구분, 진행상태, 처리결과",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
10,근로조건,근로복지,퇴직연금,퇴직연금규약,"사업자등록번호, 사업장명, 근로자수, 업종명, 퇴직연금소급기간구분, 퇴직금중간정산구분, 임금체계구분, 퇴직금폐지여부, 종전퇴직금제구분, 규약구분, 평균재직기간, 폐지사유, 확정급여형여부, 확정기여형여부, 혼합형여부, 제도폐지일","민원번호, 접수번호, 접수일자, 처리기한일자, 신고구분, 진행구분, 사업자등록번호, 사업장일련번호, 사업장명, 근로자수-전체, 신고일자, 의견청취일또는동의일자, 보고기한일자, 업종코드, 업종명, 노동조합원수, 사용자ID, 퇴직연금소급기간구분, 퇴직금중간정산구분, 임금체계구분, 퇴직금폐지여부, 퇴직연금도입제안자구분, 종전퇴직금제구분, 퇴직연금도입사유구분, 규약구분, 평균재직기간, 폐지사유, 지방관서, 감독관ID, 감독관명, 부서코드, 최종정보여부, 확정급여형여부, 확정기여형여부, 혼합형여부, 퇴직금제도여부, 폐지에대한근로자대표동의여부, 폐지에대한근로자대표기타의견, 제도폐지기타사유, 제도폐지일, 폐지일기준적립금, 미납부담금액(확정기여형,혼합형의경우), 미납부담금처리방안, 도입적용일, 은행명, 민원인휴대폰, 퇴직연금, 상세화면, 버전",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
11,근로조건,근로복지,생활안정자금,근로자 생활안정자금 융자,"대부종류, 근로자 신상정보, 대부신청액, 사유발생일자, 입사일자, 대부결정액","대부종류, 주민등록번호, 성명, 주소, 전화번호, 대부신청액, 사유발생일자, 입사일자, 신청인, 담보구분, 희망은행, 대부결정액, 선정구분, 사업장명, 사업자등록번호, 재직개월수, 월평균임금, 산재관리번호, 고용관리번호, 요양대상, 선발일자, 선발순위, 선발총점수",근로복지공단,근로복지서비스
12,근로조건,근로복지,퇴직연금,중소기업퇴직연금기금(공단) 가입현황,"사업장명, 기금계약명, 사업자등록번호, 상시근로자수, 대표자성명, 기금계약명, 주민등록번호, 가입자명, 제도적용일자, 휴대전화, 이메일, 계약상태, 계약형태, 납입방법, 이체방법, 월납입금액, 납입주기","(사용자)사업장명, 기금계약명, 사업자등록번호, 상시근로자수, 대표자성명, 대표자주민번호, 대표자휴대전화, 대표자이메일, 법인등록번호, 전화번호, 팩스번호, 공동주택관리여부, 주소, 우편물수령지,  기금계약번호, 기금계약명, 제도적용일, 기금개시일자, 계정구분, 계약형태, 계약상태, 계약진행상태, 가입자수, 납입주기, 납입일, 납입방법, 부담금부담수준구분, 부담금부담수준, 부담금차기납입일 
(가입자) 기금계약명, 주민등록번호, 가입자명, 제도적용일자, 휴대전화, 이메일, 계약상태, 전화번호, 기금개시일자, 계약형태, 납입방법, 이체방법, 월납입금액, 납입주기, 납입일, 자택주소, 우편물수령지, 최초가입일자, 최종중도인출일자",근로복지공단,중소기업퇴직연금기금시스템
13,근로조건,근로복지,퇴직연금,퇴직연금 가입(공단) 현황,"공단 퇴직연금 가입 사업장수, 공단 퇴직연금 가입자수, 공단 퇴직연금 적립금","공단 퇴직연금 가입 사업장수, 공단 퇴직연금 가입자수, 공단 퇴직연금 적립금",근로복지공단,퇴직연금기록관리시스템
14,근로조건,근로복지,건설근로자 퇴직공제,건설근로자 피공제자 정보,"성명, 주민등록번호, 주소, 전화번호(연락처), 적립금액, 적립일수, 국적, 전자카드발급여부, 근로년월, 근로일수, 직종, 근무업체명, 근무공사명, 퇴직여부, 대부금 신청 유무","성명, 주민등록번호, 주소, 전화번호(연락처), 적립금액, 적립일수, 국적, 전자카드발급여부, 근로년월, 근로일수, 직종, 근무업체명, 근무공사명, 퇴직여부, 대부금 신청 유무",건설근로자공제회,건설e음
15,근로조건,근로복지,건설근로자 퇴직공제,퇴직공제 가입사업장 정보,"관리번호, 시공자명, 총공사금액, 소재지주소, 소재지전화번호, 소재지팩스번호, 주공종명, 공종분류, 사업시작일, 사업종료일, 공정율, 공사명, 전자카드 근무관리 현장 유무, 발주처명","관리번호, 시공자명, 총공사금액, 소재지주소, 소재지전화번호, 소재지팩스번호, 주공종명, 공종분류, 사업시작일, 사업종료일, 공정율, 공사명, 전자카드 근무관리 현장 유무, 발주처명",건설근로자공제회,건설e음
16,근로조건,노사관계,노동조합,노동조합(노사관계),"노동조합코드, 노동조합명, 업종코드, 업종명, 업종코드-소분류, 근로자수-남, 근로자수-여, 전체조합원수, 조합원수 여, 설립일자, 총연합단체코드, 연합단체코드, 조직단위, 조직형태","노동조합코드, 노동조합명, 업종코드, 업종명, 업종코드-소분류, 근로자수-남, 근로자수-여, 전체조합원수, 조합원수 여, 주사무소주소, 전화번호, 설립일자, 총연합단체코드, 연합단체코드, 조직단위, 조직형태, 샵제도, 대표자임기, 대의원수, 조합비징수기준, 규약상정기회의개최시기-총회, 규약상정기회의개최시기-대의원회, 단체협약유효기간-시작, 단체협약유효기간-종료, 임금협약유효기간-시작, 단체협약교섭방식, 임금협약유효기간-종료, 임금협약교섭방식, 해산신고접수일자, 해산일자, 전임자수-전임자수총합계, 해산사유, 전임자수-반전임, 전임자수-전임, 전임자월평균급여, 반전임자월평균급여, 임원수, 산하지부수, 임원현황-성명, 임원현황-주민등록번호, 임원현황-학력, 임원현황-선출일자, 임원현황-선출기관, 임원현황-임기만료일자, 임원현황-근속년수, 임원현황-임원재임년수, 노동단체구분, 노동조합단체카드구분, 변경구분, 변경일자, 정상구분, 조직형태(단체카드), 조합구분, 잡실행여부(이력반영), 상급단체(공무원노조), 기관명(공무원노조), 임원현황-주민등록번호(암호화컬럼), 주사무소도로명코드, 주사무소주소병행상세, 단체협약, 체결일, 임금협약, 체결일, 노동부/지자체구분, 이관_노동조합코드, 지방관서, 청사구분, 행정관청코드",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
17,근로조건,노사관계,노동조합,단체교섭 및 단체협약,"사용자(단체)명, 사용자(단체)업종코드, 사용자(단체)근로자수, 사용자(단체)사업장수, 전체조합원수, 단체협약체결일, 단체협약유효기간-시작, 단체협약유효기간-종료, 사업장일련번호, 임금협약체결일","등록일련번호, 사용자(단체)명, 사용자대표자, 사용자(단체)_주소, 사용자(단체)업종코드, 사용자(단체)근로자수, 사용자(단체)사업장수, 전체조합원수, 단체협약체결일, 단체협약유효기간-시작, 단체협약유효기간-종료, 사업장일련번호, 임금협약체결일, 임금협약유효기간-시작, 임금협약유효기간-종료, 임·단협 구분",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
18,근로조건,노사관계,노사협의회,노사협의회,"노동조합코드, 업종코드, 노동조합명, 노동조합대표자명, 전체조합원수, 근로자수, 고충처리위원선임여부, 고충처리위원수, 근로자위원수, 사용자위원수, 설치일자, 규정제정일자","노사협의회순번, 민원번호, 접수번호, 사업장일련번호, 사업장명, 노동조합코드, 업종코드, 노동조합명, 노동조합대표자명, 전체조합원수, 조합원수여, 근로자수, 고충처리위원선임여부, 고충처리위원수, 근로자위원수, 사용자위원수, 설치일자, 규정제정일자, 규정조치일자, 지방관서",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
19,노동관계,심판 및 조정 업무 등,사건부,사건부 정보,"사건번호, 사건유형, 접수일자, 담당조사관, 처리결과, 진행상태, 신청인 성함, 피신청인 사업장명, 피신청인 성함","사건번호, 사건유형, 접수일자, 처리기한, 판정일, 판정문 송부일, 담당조사관, 심판위원, 신청인, 대상근로자, 고용형태, 계약종료일, 처리결과, 진행상태, 사건쟁점특정, 신청방법, 근로자 성함, 근로자 생년월일, 근로자 성별, 근로자 직종, 근로자 근무기간, 근로자 우편변호, 근로자 주소, 근로자 전화번호, 근로자 팩스번호, 근로자 이동전화, 근로자 이메일, 근로자 사건(사유)발생일, 근로자 당시 나이(만), 근로자 평균임금, 사용자 사업자명, 사용자 대표자, 사용자 법인번호, 사용자 업종, 사용자 근로자수, 사용자 우편번호, 사용자 직위, 사용자 주소, 사용자 사업장지역, 사용자 기관특성, 가용자 전화번호, 사용자 팩스번호, 사용자 이동전화, 사용자 이메일, 신청취지, 신청이유, 신청서사본",중앙노동위원회(기획총괄과),조사행정시스템(노사마루)
20,산업안전보건,산업보건,석면안전관리,석면해체제거업자,"석면해체제거업자, 사업장명, 소재지, 대표자, 연락처, 등록번호, 등록일자","석면해체제거업자, 사업장명, 소재지, 대표자, 연락처, 등록번호, 등록일자",고용노동부(안전보건감독기획과),근로감독행정 정보시스템(노사누리)
21,산업안전보건,산업보건,석면안전관리,석면해체제거작업,"건축물/설비, 소재지, 건축물/설비, 용도, 건축물/설비, 건물(설비)명, 건축물/설비, 연면적, 소유자 정보, 제거업자 사업장명, 제거업자 연락처, 작업장 공사현장명, 작업장 해체사유","건축물/설비, 소재지, 건축물/설비, 용도, 건축물/설비, 건물(설비)명, 건축물/설비, 연면적, 소유자 이름, 소유자 주소, 소유자 연락처, 제거업자 등록번호, 제거업자 사업장명, 제거업자 연락처, 작업장 공사현장명, 작업장 연락처, 작업장 해체사유, 작업장 해체기간, 작업장 현장책임자, 작업장 석면함유자재, 종류/면적",고용노동부(안전보건감독기획과),근로감독행정 정보시스템(노사누리)
22,산업안전보건,산업보건,석면안전관리,석면해체제거작업(공단),"등록일련번호, 업무신고번호, 건축물등록번호, 소재지주소, 건물명설비명, 대상건축물여부, 대상설비여부, 용도명, 구조명, 건축물수, 연면적값, 세대건수","등록일련번호, 업무신고번호, 건축물등록번호, 소재지주소, 건물명설비명, 대상건축물여부, 대상설비여부, 용도명, 구조명, 건축물수, 연면적값, 세대건수, 소유자명, 소유자전화번호, 소유자주소, 석면해체등록코드, 공사현장공사명, 공사현장전화번호, 해체사유내용, 해체종료일자 ,해체시작일자, 책임자명,책임자전화번호, 업자등록일련번호, 보고일자, 초과여부, 변경발생일자, 측정기관사업관리번호, 측정기관사업개시번호, 측정기관종류코드, 등록부서코드, 소재지주소, 소재지행정동코드, 소유자행정동코드, 건물주소,  건물후부주소, 건물동코드, 도로명코드, 조사기관관리번호, 조사기관개시번호",한국산업안전보건공단,K2B 시스템
23,산업안전보건,산업보건,직업건강,작업환경측정,"측정관리번호, 측정연도, 측정반기공통코드, 측정상태공통코드, 검진기관코드, 사업장관리번호, 사업장개시번호, 사업장명, 사업장관리고용노동부지청코드, 사업장관리지사코드","측정관리번호, 측정연도, 측정반기공통코드, 측정상태공통코드, 검진기관코드, 사업장관리번호, 사업장개시번호, 사업장명, 사업장관리고용노동부지청코드, 사업장관리지사코드, 측정일련번호, 사업장관리일련번호, 사업장생성번호, 사업장대표자명, 사업장주소, 사업장전화번호, 사업장업종코드, 사업장업태명, 사업장근로자수, 사업장팩스번호, 사업장주요생산품명, 지정한계건수, 집계누적수, 제5인이상누적수, 시작측정일자, 종료측정일자, 측정일자기간값, 측정시간시작시간, 측정시간종료시간, 측정시간값, 측정시간분값, 전회시작측정일자, 전회종료측정일자, 시작작업장소기온값, 종료작업장소기온값, 시작작업장소습도값, 종료작업장소습도값, 측정공정신규변경여부, 측정공정신규변경일자, 측정BF공정결과공통코드, 발암성물질노출초과여부, 화학적인자노출초과여부, 향후측정주기여부, 향후측정예상일자, 측정지원대상공통코드, 측정비용사업장규모공통코드, 측정단가금액, 측정비용집계금액, 도급작업여부",한국산업안전보건공단,K2B 시스템
24,산업안전보건,산업보건,직업건강,특수건강진단 사업장,"특검관리번호, 특검사업연도, 검진기관코드, 사업장관리번호, 사업장개시번호, 사업장명, 사업장관리고용노동부지청코드, 사업장관리지사코드","특검관리번호, 특검사업연도, 검진기관코드, 사업장관리번호, 사업장개시번호, 사업장명, 사업장관리고용노동부지청코드, 사업장관리지사코드, 사업장관리일련번호, 사업장생성번호, 사업장대표자명, 사업장 주소, 사업장전화번호내용, 사업장팩스번호내용, 사업장업종코드, 사업장업태명, 사업장담당자직위명, 사업장담당자명, 사업장주요생산품명, 총근로자남자수, 총근로자여성수, 검진의사명, 사업장규모공통코드, 국고대상여부, 검진집계인원수, 지원인원수, 건강수첩인원수, 건강검진대상남자수, 건강검진대상여성수, 전송파일명, 사업장송부 일자, 유예여부, 비고내용",한국산업안전보건공단,K2B 시스템
25,산업안전보건,산업보건,직업건강,특수건강진단 인적사항,"특검관리번호, 수검자관리번호, 특검사업연도, 측정기관코드, 수검자주민등록번호, 수검자명, 검진일자, 일반검진공단청구여부, 일반검진가입유형공통코드, 특검청구공통코드, 특검수검공통코드, 배치전 수검여부, 수시수검여부, 임시수검공통코드, 건강수첩소지여부","특검관리번호, 특검사업연도, 측정기관코드, 수검자관리번호, 수검자주민등록번호, 수검자명, 제1차검진일자, 일반검진공단청구여부, 일반검진가입유형공통코드, 특검청구공통코드, 특검수검공통코드, 배치이전수검여부, 수시수검여부, 임시수검공통코드, 건강수첩소지공통코드, 전화번호내용, 휴대전화번호내용, 이메일, 직원번호, 직종형태공통코드, 입사일자, 전입일자, 폭로기간명, 일일폭로시간, 공정코드, 업무공정명, 직종코드, 직종명, 부서1명, 부서2명, 수검자우편번호, 수검자1주소, 수검자2주소, 국가공통코드, 가족병력명, 업무기인성명, 흡연음주내용명, 치과특검청구여부, 검사항목결과제공동의여부, 환자비고내용, 남녀구분공통코드, 전송일시, 전송결과공통코드, 전송자아이디, 보고일시, 보고자아이디, 검진보고상태공통코드, 비고내용, 전송파일명, 삭제여부, 진폐여부, 일반검진미실시공통코드, 건설일용직확인공통코드, 외국인등록증미소지여부, 유예여부, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 직종별 건강진단 수검 여부, 안전보건공단 및 근로자건강센터 정보제공 활용 동의, 민감정보 제공 동의, XML파일등록번호, 야간작업대상구분코드, 직종구분공통코드, 특수건강진단실시근거공통코드, 특수건강진단실시근거기타사유내용, 주민등록번호대체번호, MSDS확인여부, 특수건강진단실시계획서여부, 작업환경측정예비조사표여부, 측정제외사업장확인서여부, 기타여부, 건설업교육이수증등록번호, 증빙자료첨부파일경로명, 증빙자료첨부파일명, 증빙자료물리적파일명, 업로드입력구분공통코드",한국산업안전보건공단,K2B 시스템
26,산업안전보건,산업보건,직업건강,기기정보,"감지기일련번호, 사업장아이디, 설치사업장관리번호, 소유사업장관리번호, 감지기상태코드, 공정구분코드, 모델명, 측정물질명, 측정물질단위코드, 알림기준값","감지기일련번호, 사업장아이디, 설치사업장관리번호, 소유사업장관리번호, 감지기상태코드, 감지기비밀번호, 모니터링구분코드, 제조사명, 감지기명, 감지기설명, 공정구분코드, 휴식시간설명, MAC주소명, 업그레이드일시, 펌웨어버전명, 모델명, 측정물질명, 측정물질단위코드, 알림기준값, GPS좌표위도값, GPS좌표경도값, 전화번호, 해상도값, 전원전압값, 감지기종류코드, 감지기기능코드, 장비검수자아이디, 감지기입고일자, 외관정상여부, 기능정상여부, 감지기삭제일자, 최초생성일시, 최초생성아이디, 최종수정일시, 최종수정자아이디",한국산업안전보건공단,작업환경 종합관리 플랫폼
27,산업안전보건,산업보건,직업건강,위험물질감지정보,"위험물질감지일련번호, 감지기일련번호, 처리연월일시분초, 감지기측정물질종류코드, 사업장아이디, 모니터링구분코드, 카스번호, 감지기측정값, 감지기상태코드","위험물질감지일련번호, 감지기일련번호, 처리연월일시분초, 감지기측정물질종류코드, 사업장아이디, 모니터링구분코드, 카스번호, 감지기측정값, 감지기상태코드, GPS좌표위도값, GPS좌표경도값, 전원상태코드, 오디오볼륨값, GPS상태코드, 속도값, 감지기방향값, 감지기통신감도값, 긴급벨상태코드, 전원상태율, 최초생성일시, 최초생성아이디, 최종수정일시, 최종수정자아이디",한국산업안전보건공단,작업환경 종합관리 플랫폼
28,산업안전보건,산업보건,직업건강,음주상담정보,"상담일련번호, 음주량, 점수","지속상담여부, 책제공여부, 의뢰여부, 상담일련번호, 내용, 생성일시, 생성사용자일련번호, 삭제여부, 음주량, 조치사항, 유기용제사용여부, 기타메모, 기타여부, 야근여부, 점수, 지속상담기간",한국산업안전보건공단,근로자건강센터 통합 전산시스템
29,산업안전보건,산업보건,직업건강,금연상담정보,"검사여부, 담배종류, 상담일련번호, 내용, 흡연기간, 금연시작일자, 금연시도횟수 ","검사여부, 책제공여부, 담배종류, 상담일련번호, 내용, 생성일시, 생성사용자일련번호, 일흡연량, 삭제여부, 회차, 처음흡연나이, 연계프로그램타입코드, 연계여부, 조치사항, 니코틴점수, 금연프로그램회차타입코드, 금연시작일자, 금연시도횟수, 기타메모, 기타여부, 처방메모, 처방여부, 흡연상태타입코드, 흡연기간, 흡연타입코드, 흡연유형결과, 지속상담기간, 지속상담여부, 검사결과",한국산업안전보건공단,근로자건강센터 통합 전산시스템
30,산업안전보건,산업보건,직업건강,운동상담정보,"상담일련번호, 고레벨운동시간, 고레벨운동횟수, 저레벨운동시간, 저레벨운동횟수, 조치사항, 중레벨운동시간, 중레벨운동횟수, 점수","점수, 상담일련번호, 내용, 생성일시, 생성사용자일련번호, 삭제여부, 고레벨운동시간, 고레벨운동횟수, 저레벨운동시간, 저레벨운동횟수, 조치사항, 중레벨운동시간, 중레벨운동횟수",한국산업안전보건공단,근로자건강센터 통합 전산시스템
31,산업안전보건,산업보건,직업건강,직업환경상담정보,"상담일련번호, 내용, 노출유해요인타입코드목록, 보호수단장비타입코드목록, 환기장비장비타입코드목록, 특수검사대상자여부","환기장비대상타입코드, 상담1메모, 상담1여부, 상담2메모, 상담2여부, 상담3메모, 상담3여부, 상담4메모, 상담4여부, 상담5메모, 상담5여부, 상담6메모, 상담6여부, 상담7메모, 상담7여부, 상담8메모, 상담8여부, 상담일련번호, 내용, 생성일시, 생성사용자일련번호, 삭제여부, 노출유해요인타입코드목록, 조치사항, 보호수단장비기타메모, 보호수단장비대상타입코드, 보호수단장비타입코드목록, 점수1, 점수2, 특수검사조치여부, 특수검사대상자여부, 환기장비장비타입코드목록, 환기장비기타메모",한국산업안전보건공단,근로자건강센터 통합 전산시스템
32,산업안전보건,산업보건,직업건강,근골상담정보,"상담일련번호, 내용, 근골유해요인타입코드목록","근골관리방법타입코드목록, 상담일련번호, 내용, 생성일시, 생성사용자일련번호, 삭제여부, 회차, 관리방법분류, 조치사항, 근골유해요인기타메모, 근골유해요인타입코드목록, 근골관리방법기타메모",한국산업안전보건공단,근로자건강센터 통합 전산시스템
33,산업안전보건,산업보건,직종별 산업안전,사고다발구역정보,"사고건수, 중심X좌표, 중심Y좌표, 사망자수,  시군구코드, 시군구명, 경상자수, 중상자수, 구역반경","사고건수, 중심X좌표, 중심Y좌표, 사망자수, 다발그룹아이디, 다발구역아이디, 다발구역명, 최초등록시점, 최초등록자ID, 지오메트리, 부상신고자수, 최종수정시점, 최종수정자ID, 시군구별순위, 시군구코드, 시군구명, 경상자수, 중상자수, 구역반경",한국산업안전보건공단,직종별 플랫폼 재해예방 시스템
