No.,대분류,중분류,소분류,데이터명(데이터 기준단위),주요 데이터내용(해당 시스템에서 추출),데이터 내용(해당 시스템에서 추출),기관명,시스템명
49,산업안전보건,산업안전,화학사고예방,유해화학물질 취급시설 검사,"유해화학물질신청번호, 유해화학물질진행상태구분코드, 유해화학물질신청구분코드, 유해화학물질검사구분코드, 유해화학물질신청유형구분코드, 신청자 신상정보, 영업허가대상여부, 장외영향평가위험도구분코드","유해화학물질신청번호, 유해화학물질신청일련번호, 사용자아이디, 유해화학물질진행상태구분코드, 유해화학물질신청구분코드, 유해화학물질검사구분코드, 유해화학물질신청유형구분코드, 신청자명, 신청자전화번호, 신청자이동전화번호, 신청자이메일, 업소코드명, 시설코드명, 시설구분명, 영업허가대상여부, 장외영향평가위험도구분코드, 관할환경관서명, PSM대상여부, 검사희망일자, 최초검사일자, 거래처코드, 공단접수담당자구성원아이디, 신청첨부파일번호, 신청일시, 신청여부, 신청접수여부, 보완여부, 오프라인등록여부, 재검사수수료면제여부, 보완이력여부, 변경접수이력여부, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 확인결재문서번호, 관할환경관서구분코드, ERP신청첨부파일번호, 반려여부, 반려사유구분코드, 기타반려사유내용, 염색업무여부, 표면처리업무여부, 연안법적용여부, 경미시설변경여부, 중소기업여부, 취급시설소재지우편번호, 취급시설소재지기본주소, 취급시설소재지상세주소, 취급시설소재지시도구분코드, 관리지사코드, 해당없음유무, 허가대장사업자등록번호, 화학사고예방계획서민원번호, 항만구역여부, 산업단지여부, 산업단지코드, 반도체제조여부, 수행기관코드, 민원사무처리접수일자, 민원관리번호, 민원요청일자",한국산업안전보건공단,유해화학물질취급시설검사시스템
50,산업안전보건,산업안전,화학사고예방,유해화학물질 취급시설 사업장,"사용자아이디, 사용자구분코드, 사무소전화번호, 사무소주소, 대표자명, 취급시설소재지주소, 사업장담당자명, 사업장담당자이동전화번호, 사업장담당자이메일, 관리지사코드","사용자아이디, 사용자구분코드, 사무소전화번호, 사무소주소, 대표자명, 취급시설소재지주소, 사업장담당자명, 사업장담당자이동전화번호, 사업장담당자이메일, 관리지사코드, 대표자생년월일, 대표자휴대전화번호, 대표자이메일, 사업장담당자전화번호, 영업허가일자",한국산업안전보건공단,유해화학물질취급시설검사시스템
51,산업안전보건,산업안전,화학사고예방,화학물질 구성성분,"MSDS제출아이디, MSDS제출이력번호, MSDS번호명, 기준년도코드, 사업장아이디, 업종코드, 고용인원수, 수입품여부, 연구개발여부, 공개여부, MSDS제출구분코드, MSDS제출여부, MSDS제출일자","MSDS제출아이디, MSDS제출이력번호, MSDS번호명, 기준년도코드, 사업장아이디, 사업자등록번호, 사업장명, 팩스번호,대표자명, 이메일, 업종코드, 고용인원수, 주소, 전화번호, 수입품여부, 연구개발여부, 공개여부, MSDS제출구분코드, MSDS제출여부, MSDS제출일자, MSDS작성이력번호, 선임번호명, 제정개정일자, MSDS제품명, 제품코드명, 사용제한내용, 신호어코드, 개정일자, 재해사례상세내용, 요청제공상세내용, 사업장공개여부, MSDS작성여부, 기타사업장정보내용, 추출결과코드, 유해위험성적정성검토결과코",한국산업안전보건공단,물질안전보건자료시스템
52,산업안전보건,산업안전,화학사고예방,화학물질정보,"물질명, CAS NO, 유해/위험성 정보, 물질규제정보, 국내기관정보, 국외기관정보, 함유량, 경고표지 정보","물질명, CAS NO, 유해/위험성 정보, 물질규제정보, 국내기관정보, 국외기관정보, 함유량, 경고표지 정보",한국산업안전보건공단,화학물질정보
53,산업안전보건,산업안전,화학사고예방,화학사고 위험경보제 컨설팅,"컨설팅년도, 분기구분코드, 위험경보제아이디, PSM등급구분코드, 예비등급구분코드, 최종등급구분코드","컨설팅년도, 분기구분코드, 위험경보제아이디, PSM등급구분코드, 예비등급구분코드, 최종등급구분코드, 컨설팅일자, 사업담당자명, 전화번호, 수행자명",한국산업안전보건공단,공정안전 및 위험경보제 지원시스템(ePSM)
54,산업안전보건,산업안전,안전보건교육,수강이력,"교육년도, 회원이름, 핸드폰번호, 생년월일, 교육기관명, 교육과정명, 수료일자","교육년도, 통합사이트구분, 통합관리번호, 회원이름, 핸드폰번호, 생년월일, 회원코드, 사업자등록번호, 교육기관코드, 교육기관명, 교육과정코드, 교육과정명, 교육신청일자, 교육시작일자, 교육종료일자, 수료일자, 배치기준일자, 생성프로그램, 생성일시",한국산업안전보건공단,교육 포털 서비스(산업안전보건교육원 홈페이지/이러닝교육센터/직무교육센터)
55,산업안전보건,산업안전,안전보건교육,강사정보,"회원 코드, 강사 유형 코드, 강사 등급 코드, 강사 전공 분야 이름","회원 코드, 강사 유형 코드, 집합 YN, 이러닝 YN, 강사 등급 코드, 강사 등급 이름, 강사 전공 분야 코드, 강사 전공 분야 이름, 사용여부, 생성 회원 코드, 생성 프로그램, 생성 아이피, 생성 일시, 수정 회원 코드, 수정 프로그램, 수정 아이피, 수정 일시, 회원이름, 사이트코드, 전화번호",한국산업안전보건공단,교육 포털 서비스(산업안전보건교육원 홈페이지/이러닝교육센터/직무교육센터)
56,산업안전보건,산업안전,안전보건교육,과정정보,"과목명, 필수과목여부, 학습순서","과목코드, 과정코드, 과목명, 필수과목여부, 학습순서, 사이트코드, 사용여부, 생성회원코드, 생성프로그램, 생성아이피, 생성일시, 수정회원코드, 수정프로그램, 수정아이피, 수정일시",한국산업안전보건공단,교육 포털 서비스(산업안전보건교육원 홈페이지/이러닝교육센터/직무교육센터)
57,산업안전보건,산업안전,안전보건교육,교육과정,"과정소개내용, 근로자수50인미만선정비율, 근로자수50인이상선정비율, 교육년도, 교육분류코드, 교육과정코드, 교육과정명,  교육일수, 교육시간값, 교육비금액, 숙박여부, 숙박금액","과정소개내용, 샘플강의명, 샘플강의링크주소, 수강신청제한율, 수강자준비내용, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 교육과정출력물코드, 보수교육면제여부, 선정비율사용여부, 근로자수50인미만선정비율, 근로자수50인이상선정비율, 교육참석안내여부, 교육만족도조사안내여부, 안내교육시작시간, 안내교육종료시간, 교육년도, 교육분류코드, 교육과정코드, 교육과정명, 수료조항내용, 계획인원수, 담당강사번호, 담당강사명, 보조강사번호, 교육일수, 교육시간값, 교육비금액, 환급가능여부, 환급금액, 식대금액, 점심제공여부, 숙박여부, 숙박금액, 주된교육시설번호, 대상자소개내용",한국산업안전보건공단,산업안전보건교육원 홈페이지
58,산업안전보건,산업안전,안전보건교육,교육과목,"교육과정코드, 교육과목코드, 교육과목종류구분코드, 교육과목명, 과목소개내용","교육과정코드, 교육과목코드, 교육과목종류구분코드, 교육과목명, 과목소개내용, 교재원고명, 교재원고링크주소명, 사용여부, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시",한국산업안전보건공단,산업안전보건교육원 홈페이지
